"animal","dam","sire","dist","beans","f"
975,124,25,NA,5,2
976,124,25,NA,10,21
977,124,25,NA,3,13
978,125,25,NA,1,10
979,125,25,NA,3,17
980,125,25,NA,5,14
981,126,26,NA,5,7
982,126,26,NA,3,19
983,126,26,NA,10,22
984,127,26,NA,1,5
985,127,26,NA,3,8
986,127,26,NA,5,4
987,127,26,NA,10,15
988,127,26,NA,1,1
989,127,26,NA,3,13
990,127,26,NA,5,10
991,127,26,NA,1,3
992,127,26,NA,10,12
993,127,26,NA,5,14
994,128,26,NA,1,4
995,128,26,NA,3,12
996,128,26,NA,5,1
997,129,27,NA,1,4
998,129,27,NA,10,10
999,129,27,NA,5,5
1000,129,27,NA,3,11
1001,134,28,NA,10,29
1002,134,28,NA,1,5
1003,134,28,NA,5,20
1004,134,28,NA,3,8
1005,135,29,NA,5,23
1006,135,29,NA,3,11
1007,135,29,NA,1,4
1008,135,29,NA,10,16
1009,136,29,NA,1,1
1010,136,29,NA,5,14
1011,136,29,NA,10,16
1012,137,29,NA,5,10
1013,137,29,NA,10,2
1014,137,29,NA,1,4
1015,137,29,NA,3,2
1016,138,30,NA,3,10
1017,138,30,NA,5,6
1018,138,30,NA,10,14
1019,138,30,NA,1,5
1020,139,30,NA,10,3
1021,139,30,NA,5,21
1022,139,30,NA,3,5
1023,139,30,NA,1,1
1024,141,31,NA,3,8
1025,141,31,NA,1,2
1026,141,31,NA,10,11
1027,141,31,NA,5,15
1028,142,31,NA,1,2
1029,142,31,NA,10,11
1030,143,31,NA,1,1
1031,143,31,NA,10,12
1032,143,31,NA,5,19
1033,143,31,NA,1,1
1034,143,31,NA,3,1
1035,144,32,NA,3,1
1036,144,32,NA,1,1
1037,144,32,NA,5,8
1038,145,32,NA,3,9
1039,145,32,NA,5,8
1040,145,32,NA,10,1
1041,145,32,NA,1,3
1042,147,33,NA,3,13
1043,147,33,NA,1,8
1044,147,33,NA,10,18
1045,147,33,NA,5,9
1046,149,33,NA,3,12
1047,149,33,NA,10,19
1048,149,33,NA,5,12
1049,150,34,NA,10,29
1050,150,34,NA,5,19
1051,150,34,NA,3,5
1052,151,34,NA,5,5
1053,151,34,NA,3,1
1054,151,34,NA,10,9
1055,152,34,NA,3,3
1056,152,34,NA,1,5
1057,152,34,NA,3,0
1058,152,34,NA,10,6
1059,152,34,NA,10,11
1060,152,34,NA,5,13
1061,152,34,NA,5,6
1062,153,35,NA,1,3
1063,153,35,NA,3,16
1064,153,35,NA,3,15
1065,153,35,NA,5,8
1066,153,35,NA,10,3
1067,153,35,NA,1,6
1068,153,35,NA,5,12
1069,153,35,NA,1,1
1070,153,35,NA,10,7
1071,154,35,NA,10,8
1072,156,36,NA,5,12
1073,156,36,NA,1,3
1074,156,36,NA,10,27
1075,156,36,NA,10,2
1076,156,36,NA,10,16
1077,156,36,NA,1,4
1078,156,36,NA,3,12
1079,156,36,NA,3,2
1080,156,36,NA,5,18
1081,157,36,NA,1,3
1082,157,36,NA,5,10
1083,157,36,NA,3,8
1084,157,36,NA,1,7
1085,158,36,NA,5,20
1086,158,36,NA,10,3
1087,158,36,NA,1,4
1088,159,37,NA,1,3
1089,159,37,NA,10,15
1090,159,37,NA,5,14
1091,159,37,NA,3,7
1092,162,38,NA,10,4
1093,162,38,NA,1,4
1094,163,38,NA,3,11
1095,163,38,NA,1,1
1096,163,38,NA,10,26
1097,163,38,NA,5,17
1098,164,38,NA,3,8
1099,164,38,NA,5,12
1100,164,38,NA,1,6
1101,164,38,NA,10,8
1102,165,39,NA,10,22
1103,165,39,NA,3,7
1104,166,39,NA,1,6
1105,166,39,NA,1,4
1106,166,39,NA,5,11
1107,166,39,NA,3,3
